# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             137   N   000003a8   00004e39   000003aa   x29_t4     00000000
             138   N   000003aa   25d19e63   000003ac   x28_t3     0000000e
             139   N   000003ac   fff00093   000003b0   ---        --------
             140   N   000003b0   fff00113   000003b4   x01_ra     ffffffff
             141   N   000003b4   002081b3   000003b8   x02_sp     ffffffff
             142   N   000003b8   ffe00e93   000003bc   x03_gp     fffffffe
             143   N   000003bc   00004e3d   000003c0   x29_t4     fffffffe
             144   N   000003c0   25d19363   000003c2   x28_t3     0000000f
             145   N   000003c2   00004085   000003c6   ---        --------
             146   N   000003c6   80000137   000003c8   x01_ra     00000001
             147   N   000003c8   0000117d   000003cc   x02_sp     80000000
             148   N   000003cc   002081b3   000003ce   x02_sp     7fffffff
             149   N   000003ce   117d0eb7   000003d2   x03_gp     80000000
             151   N   000003d2   00004e41   000003d6   x29_t4     80000000
             152   N   000003d6   23d19863   000003d8   x28_t3     00000010
             153   N   000003d8   000040b5   000003dc   ---        --------
             154   N   000003dc   0000412d   000003de   x01_ra     0000000d
             155   N   000003de   0000908a   000003e0   x02_sp     0000000b
             156   N   000003e0   00004ee1   000003e2   x01_ra     00000018
             157   N   000003e2   00004e45   000003e4   x29_t4     00000018
             158   N   000003e4   23d09163   000003e6   x28_t3     00000011
             159   N   000003e6   000040b9   000003ea   ---        --------
             160   N   000003ea   0000412d   000003ec   x01_ra     0000000e
             161   N   000003ec   00009106   000003ee   x02_sp     0000000b
             162   N   000003ee   00004ee5   000003f0   x02_sp     00000019
             163   N   000003f0   00004e49   000003f2   x29_t4     00000019
             164   N   000003f2   21d11a63   000003f4   x28_t3     00000012
             165   N   000003f4   000040b5   000003f8   ---        --------
             166   N   000003f8   00009086   000003fa   x01_ra     0000000d
             167   N   000003fa   00004ee9   000003fc   x01_ra     0000001a
             168   N   000003fc   00004e4d   000003fe   x29_t4     0000001a
             169   N   000003fe   21d09463   00000400   x28_t3     00000013
             170   N   00000400   00004201   00000404   ---        --------
             171   N   00000404   000040b5   00000406   x04_tp     00000000
             172   N   00000406   0000412d   00000408   x01_ra     0000000d
             173   N   00000408   002081b3   0000040a   x02_sp     0000000b
             174   N   0000040a   412d8313   0000040e   x03_gp     00000018
             176   N   0000040e   00000205   00000412   x06_t1     00000018
             177   N   00000412   00004289   00000414   x04_tp     00000001
             178   N   00000414   fe5218e3   00000416   x05_t0     00000002
             179   N   00000416   00004ee1   00000406   ---        --------
             182   N   00000406   0000412d   00000408   x01_ra     0000000d
             183   N   00000408   002081b3   0000040a   x02_sp     0000000b
             184   N   0000040a   412d8313   0000040e   x03_gp     00000018
             186   N   0000040e   00000205   00000412   x06_t1     00000018
             187   N   00000412   00004289   00000414   x04_tp     00000002
             188   N   00000414   fe5218e3   00000416   x05_t0     00000002
             189   N   00000416   00004ee1   0000041a   ---        --------
             190   N   0000041a   00004e51   0000041c   x29_t4     00000018
             191   N   0000041c   1fd31563   0000041e   x28_t3     00000014
             192   N   0000041e   00004201   00000422   ---        --------
             193   N   00000422   000040b9   00000424   x04_tp     00000000
             194   N   00000424   0000412d   00000426   x01_ra     0000000e
             195   N   00000426   002081b3   00000428   x02_sp     0000000b
             196   N   00000428   00000001   0000042c   x03_gp     00000019
             197   N   0000042c   00018313   0000042e   ---        --------
             198   N   0000042e   00000205   00000432   x06_t1     00000019
             199   N   00000432   00004289   00000434   x04_tp     00000001
             200   N   00000434   fe5217e3   00000436   x05_t0     00000002
             201   N   00000436   00004ee5   00000424   ---        --------
             204   N   00000424   0000412d   00000426   x01_ra     0000000e
             205   N   00000426   002081b3   00000428   x02_sp     0000000b
             206   N   00000428   00000001   0000042c   x03_gp     00000019
             207   N   0000042c   00018313   0000042e   ---        --------
             208   N   0000042e   00000205   00000432   x06_t1     00000019
             209   N   00000432   00004289   00000434   x04_tp     00000002
             210   N   00000434   fe5217e3   00000436   x05_t0     00000002
             211   N   00000436   00004ee5   0000043a   ---        --------
             212   N   0000043a   00004e55   0000043c   x29_t4     00000019
             213   N   0000043c   1dd31563   0000043e   x28_t3     00000015
             214   N   0000043e   00004201   00000442   ---        --------
             215   N   00000442   000040bd   00000444   x04_tp     00000000
             216   N   00000444   0000412d   00000446   x01_ra     0000000f
             217   N   00000446   002081b3   00000448   x02_sp     0000000b
             218   N   00000448   00000001   0000044c   x03_gp     0000001a
             219   N   0000044c   00000001   0000044e   ---        --------
             220   N   0000044e   00018313   00000450   ---        --------
             221   N   00000450   00000205   00000454   x06_t1     0000001a
             222   N   00000454   00004289   00000456   x04_tp     00000001
             223   N   00000456   fe5216e3   00000458   x05_t0     00000002
             224   N   00000458   00004ee9   00000444   ---        --------
             227   N   00000444   0000412d   00000446   x01_ra     0000000f
             228   N   00000446   002081b3   00000448   x02_sp     0000000b
             229   N   00000448   00000001   0000044c   x03_gp     0000001a
             230   N   0000044c   00000001   0000044e   ---        --------
