# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             154   N   000008dc   00000885   000008e0   ---        --------
             155   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa43
             156   N   000008e2   0000a035   000008d6   ---        --------
             161   N   000008d6   0000c791   000008da   x15_a5     00000061
             162   N   000008da   00f82023   000008dc   ---        --------
             164   N   000008dc   00000885   000008e0   ---        --------
             165   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa44
             166   N   000008e2   0000a035   000008d6   ---        --------
             171   N   000008d6   0000c791   000008da   x15_a5     0000006c
             172   N   000008da   00f82023   000008dc   ---        --------
             174   N   000008dc   00000885   000008e0   ---        --------
             175   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa45
             176   N   000008e2   0000a035   000008d6   ---        --------
             181   N   000008d6   0000c791   000008da   x15_a5     00000069
             182   N   000008da   00f82023   000008dc   ---        --------
             184   N   000008dc   00000885   000008e0   ---        --------
             185   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa46
             186   N   000008e2   0000a035   000008d6   ---        --------
             191   N   000008d6   0000c791   000008da   x15_a5     00000067
             192   N   000008da   00f82023   000008dc   ---        --------
             194   N   000008dc   00000885   000008e0   ---        --------
             195   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa47
             196   N   000008e2   0000a035   000008d6   ---        --------
             201   N   000008d6   0000c791   000008da   x15_a5     0000006e
             202   N   000008da   00f82023   000008dc   ---        --------
             204   N   000008dc   00000885   000008e0   ---        --------
             205   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa48
             206   N   000008e2   0000a035   000008d6   ---        --------
             211   N   000008d6   0000c791   000008da   x15_a5     00000020
             212   N   000008da   00f82023   000008dc   ---        --------
             214   N   000008dc   00000885   000008e0   ---        --------
             215   N   000008e0   ff5ff06f   000008e2   x17_a7     0000aa49
             216   N   000008e2   0000a035   000008d6   ---        --------
             221   N   000008d6   0000c791   000008da   x15_a5     00000000
             222   N   000008da   00f82023   000008e6   ---        --------
             225   N   000008e6   000047a1   00000912   ---        --------
             229   N   00000912   20230013   0000abe0   ---        --------
             232   N   0000abe0   51428293   0000abe4   x05_t0     fffffbe0
             233   N   0000abe4   00008282   0000abe8   x05_t0     000000f4
             234   N   0000abe8   00000013   000000f4   ---        --------
             237   N   000000f4   0000006f   000000f8   ---        --------
             238   N   000000f8   ffffffff   000000f8   ---        --------
